"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R3";"R_0402_1005Metric";2;"22Ω";;;
2;"U2";"Nordic_AQFN-73-1EP_7x7mm_P0.5mm";1;"nRF52840";;;
3;"C18";"C_0402_1005Metric";1;"1.8pF";;;
4;"C17,C15,C16,C9";"C_0805_2012Metric";4;"4.7µF";;;
5;"C2,C8,C14,C7,C11,C12,C10,C5,C6,C13,C4";"C_0402_1005Metric";11;"100nF";;;
6;"U1";"SOT-23-5";1;"XC6210B332MR";;;
7;"C1,C3";"C_0805_2012Metric";2;"10µF";;;
8;"Y2";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"Crystal 32.768kHz";;;
9;"F1";"Fuse_1812_4532Metric";1;"Polyfuse";;;
10;"J_ANT1";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01";;;
11;"J3";"PinHeader_1x12_P2.54mm_Vertical";1;"Conn_01x12";;;
12;"C19";"C_0402_1005Metric";1;"1.5pF";;;
13;"SW1";"SW_SPST_PTS645Sx43SMTR92";1;"SW_SPST";;;
14;"C20,C21";"C_0402_1005Metric";2;"8pF";;;
15;"D1";"SOT-23";1;"BAT54S";;;
16;"C22,C23";"C_0402_1005Metric";2;"12pF";;;
17;"R4,R5,R1";"R_0402_1005Metric";3;"10kΩ";;;
18;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
19;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"Crystal 32MHz";;;
20;"U3";"SOT-23-6";1;"USBLC6-2SC6";;;
21;"J1";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
22;"L1";"L_0402_1005Metric";1;"3.9nH";;;
