"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J6,J8,J4";"PinHeader_1x04_P2.54mm_Vertical";3;"Conn_01x04";;;
2;"C3,C1";"C_0805_2012Metric";2;"10µF";;;
3;"R4,R3,R1,R5,R6,R2";"R_0402_1005Metric";6;"10kΩ";;;
4;"C5";"C_Radial_D8.0mm_H11.5mm_P3.50mm";1;"100µF";;;
5;"R10,R11,R9";"R_0402_1005Metric";3;"330Ω";;;
6;"D3,D2,D1";"LED_0402_1005Metric";3;"LED";;;
7;"U3";"SOT-23-6";1;"USBLC6-2SC6";;;
8;"C10,C12,C14,C8,C11,C4,C9,C2";"C_0402_1005Metric";8;"100nF";;;
9;"C6,C7";"C_0402_1005Metric";2;"12pF";;;
10;"C13";"C_0402_1005Metric";1;"1µF";;;
11;"U2";"LQFP-64_10x10mm_P0.5mm";1;"STM32F411RETx";;;
12;"R7,R8";"R_0402_1005Metric";2;"22Ω";;;
13;"J2,J1";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";2;"Conn_01x02";;;
14;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
15;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
16;"J7";"PinHeader_1x12_P2.54mm_Vertical";1;"Conn_01x12";;;
17;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"Crystal";;;
18;"J9";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
19;"SW1";"SW_SPST_PTS645Sx43SMTR92";1;"SW_SPST";;;
20;"J5";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07";;;
